CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"14,000.00","1,750",0.70,0.80,"3,825",-,0.70,121.53,"13,083","6,612","32,590",
,"16,917",-3,8,-,"8,570.15",68.05,25,"8,514.80","8,561.25",25,"15,000.00",225,0.75,0.80,"1,450",-,0.75,105.84,"1,384",748,"13,570",
,1,-,-,-,-,-,25,"7,430.65","7,616.10",25,"16,000.00",900,0.80,0.90,800,-0.05,0.80,92.66,"1,113",559,"4,182",
,774,-8,20,-,"6,580.60",75.60,25,"6,537.10","6,581.60",25,"17,000.00",300,0.80,0.90,"2,975",-0.10,0.85,79.54,"1,658",592,"19,130",
,"14,786",-81,130,-,"5,562.00",78.65,100,"5,502.05","5,562.25",25,"18,000.00","11,475",0.80,0.85,"3,925",-0.15,0.90,66.30,"13,963","7,022","63,209",
,156,-,4,-,"5,050.00",70.00,50,"5,000.00","5,325.00",25,"18,500.00",-,-,-,-,-,-,-,-,-,-,-
,"12,467",-75,100,-,"4,565.50",71.85,100,"4,557.05","4,563.35",25,"19,000.00","4,300",0.80,0.90,"24,725",-0.30,0.85,54.02,"11,798","6,633","57,936",
,"26,365",-582,743,-,"3,567.70",46.55,100,"3,562.30","3,568.15",25,"20,000.00","6,425",1.20,1.25,"4,450",-0.60,1.20,43.80,"24,396","5,246","1,90,008",
,18,-,-,-,-,-,500,"3,123.50","3,472.15",500,"20,150.00",825,1.20,1.30,925,-0.40,1.25,42.33,471,216,587,
,606,-6,10,-,"3,350.00",-50.35,25,"3,348.40","3,369.00",125,"20,200.00",925,1.25,1.40,925,-0.20,1.40,41.89,"2,340","1,054","2,100",
,165,-,-,-,-,-,500,"3,029.60","3,582.70",500,"20,250.00",400,1.30,1.45,250,-0.40,1.35,41.58,"1,099",210,338,
,567,-6,8,-,"3,251.00",-84.60,25,"3,250.20","3,268.65",25,"20,300.00","1,150",1.25,1.30,"1,550",-0.40,1.30,40.53,"3,039","1,839","4,905",
,207,-,-,-,-,-,500,"2,940.50","3,473.30",500,"20,350.00",575,1.45,1.70,150,-0.45,1.45,40.78,339,145,271,
,143,-,-,-,-,-,50,"3,134.55","3,250.45","1,000","20,400.00",750,1.40,1.70,50,-0.20,1.45,39.63,789,329,809,
,134,-,-,-,-,-,500,"2,853.90","3,207.65",500,"20,450.00",450,1.45,1.75,75,-0.50,1.50,39.17,353,147,229,
,"7,750",-761,806,-,"3,065.00",68.10,100,"3,058.75","3,068.60",100,"20,500.00",275,1.45,1.50,"4,350",-0.55,1.45,38.56,"9,056","3,487","32,651",
,202,-,-,-,-,-,500,"2,757.50","3,096.90",500,"20,550.00",275,1.50,1.85,300,-0.50,1.70,38.47,237,82,159,
,560,-,-,-,-,-,50,"2,945.35","2,969.20",50,"20,600.00","1,500",1.65,1.80,225,-0.25,1.85,38.21,"3,408",712,"11,410",
